Time,Longitude,Latitude,AccelX,AccelY,AccelZ,OrientX,OrientY,OrientZ,MagneticX,MagneticY,MagneticZ,Bearing,Speed,gpsAccuracy,Entropy
1311278746455,-71.06110239,42.37071359,-0.842725242,2.298507636,9.307855764,131.9337672,-13.81208503,-5.015291654,-34.93712393,-25.06141339,0.875934451,322.5092981,5.400270168,2.449630315,0.917604969
1311278750381,-71.0613617,42.37093093,-1.186640679,1.225889661,9.34528873,177.9134859,-7.406136684,-7.171721971,2.313294824,-17.18502345,-9.874686919,313.6027171,8.70011217,2.449508931,0.973929669
1311278754245,-71.06175991,42.37114084,-0.803562334,1.070968051,8.810689013,159.2977754,-6.89050938,-5.187180993,-9.123518773,-33.18738625,-10.62388568,307.506383,10.90020288,3.000082115,0.937977281
1311278758459,-71.06229295,42.37136033,-0.459658785,1.110113073,9.078000456,153.6475261,-6.953071211,-2.890296189,-10.37381784,-24.81051857,-19.68685717,298.6093964,12.40010644,2.000136751,0.929581908
1311278759256,-71.06111016,42.37070774,1.144154114,-0.040835348,9.575113445,33.00948677,-0.999659872,7.00012632,-5.437451239,9.50204791,9.562664703,323.0944107,5.00011672,4.00005035,0.938750309
1311278762359,-71.06290434,42.37157028,-0.267248678,0.803649102,9.844159191,165.0788412,-4.671862973,-1.531238916,-7.124156691,-24.3117512,-14.06200026,297.0084016,13.40026348,2.000131002,0.949515652
1311278763459,-71.06143848,42.37093873,0.299732098,0.844541936,9.765817095,138.0026572,-4.999492869,2.000195549,-14.18695148,-13.87426898,5.000449415,309.7333553,9.750267883,3.000000971,0.674504024
1311278766225,-71.0634904,42.37181788,-0.573706138,0.996035436,9.001394019,156.5117039,-6.312271798,-3.609261316,-8.374811027,-24.80959233,-19.68718263,299.802991,14.00022127,2.449627726,0.948860133
1311278767348,-71.06188062,42.37113774,0.844528094,0.081790357,9.57514346,112.000871,-0.999647852,5.000302322,-17.24852524,-7.373293017,3.75127626,301.6462789,10.75021253,3.000132223,0.886538445
1311278770444,-71.06392574,42.37202303,-0.15314654,-1.225765794,9.270380706,155.3813327,7.516127482,-0.952679256,-11.12330847,-22.62329295,-22.87474928,303.7028657,14.30006811,1.732201168,0.938362457
1311278771208,-71.06243016,42.37132662,0.572064315,-0.299616465,9.806651643,113.0076624,2.000014308,3.000049384,-15.99873993,-5.622814697,-3.999128726,298.4793252,13.25010792,2.000151155,0.91725242
1311278774303,-71.06452921,42.37233272,-0.343904618,-0.726904526,9.040579255,153.4565707,4.5940879,-2.18723833,-12.1243111,-21.87431805,-21.8737873,305.2027673,9.60014003,1.500030715,0.976287476
1311278775444,-71.06302611,42.37154867,0.572104522,-0.694569013,10.07913328,117.0056985,4.000210475,3.00042674,-17.74929173,-6.874651562,-9.499103718,298.4806768,13.75000491,2.000148486,0.777049128
1311278779303,-71.06361334,42.37181101,0.572097703,-0.38131797,9.697710442,120.0013156,2.000269664,3.000442109,-15.24847645,-7.62421589,-1.999238309,302.3534715,14.50016303,2.000132767,0.887021028
1311278783506,-71.06420079,42.37209421,-1.375653337,-0.422164791,10.22897437,117.0089916,2.000173731,-7.999789134,-13.6864068,-7.872296735,-6.499374057,304.8118897,14.50018355,2.000076725,0.937366584
1311278787379,-71.06460421,42.37231076,-1.184887245,-0.381329415,10.22892569,117.0093913,2.000178639,-6.999499923,-14.18605921,-6.622738027,-4.498633779,305.5124613,8.000030237,2.000077197,0.987191247
1311278806245,-71.06491766,42.37255037,-0.573711532,2.259355589,9.078028878,148.0084758,-13.95269582,-3.499542991,-10.37376771,-22.37409616,-21.12480397,303.3030358,5.100269138,1.500050382,0.924540942
1311278810457,-71.06536065,42.37274222,-1.033373811,1.722996664,9.04051938,148.2853952,-10.71877465,-6.421439135,-8.87323735,-21.62465064,-20.18614633,300.6083926,12.50019143,1.500035448,0.824954261
1311278814327,-71.06598595,42.37302159,-0.650371414,-0.076535364,9.117166889,151.5888543,0.468962046,-4.09355517,-8.623494336,-23.81119856,-23.37438298,299.8032158,15.90015884,1.732162717,0.920947958
1311278818538,-71.0666801,42.37332238,1.070931664,0.383112521,9.997362675,128.2553421,-2.187355073,6.109802478,-28.49975187,-17.93652831,-23.56094357,300.1086623,16.80007883,1.73212805,0.935158851
1311278819306,-71.06497822,42.37250274,1.797957722,-0.081709189,9.697708013,123.006857,-0.999737939,11.00037838,-13.1874659,-8.874786579,-3.998807471,303.7581406,8.000281041,2.000062041,0.933674272
1311278822405,-71.0673214,42.37369204,1.033509004,0.919405416,9.384458912,117.4921113,-5.577726425,6.250109137,-17.31109452,-5.37312608,-10.62457951,314.7069266,17.20021765,2.449558371,0.892544567
1311278823526,-71.06545868,42.37272702,1.307619247,-0.108943529,9.847539685,124.003403,1.00048226,8.000300185,-14.93648848,-8.872733891,-1.999593825,302.3441375,13.50959315,2.000066995,0.811285058
1311278826268,-71.06779384,42.37422188,-0.076599752,0.727046752,9.231210528,126.2200622,-4.515168604,-0.452954426,-14.87366459,-12.74808935,-28.99855963,324.7003518,17.40006633,3.46421663,0.93004429
1311278827380,-71.06610091,42.3730178,0.109039695,0.040932174,10.03822873,122.0005107,-0.999540754,1.000173772,-16.99955017,-10.37416893,-2.499804099,300.5918879,16.25781453,2.000057754,0.917240878
1311278830479,-71.06811391,42.37482572,-1.225777776,1.455728574,9.001417004,133.1307435,-9.093280457,-7.655801352,-11.37311142,-20.12366874,-20.8737408,335.0005101,17.50028276,3.464198366,0.950083198
1311278831249,-71.06678705,42.37332169,0.10903625,-1.457372607,10.46041085,69.00839095,8.000358651,1.000148193,-10.68623952,2.626123593,9.001319385,301.9980431,16.75006364,2.000074575,0.873625755
1311278834340,-71.06844174,42.3754552,-1.493115182,1.033495533,8.579158766,128.1108628,-6.749651856,-9.812146887,-17.81141159,-16.43486064,-21.12377277,336.2000912,18.60014302,3.000067582,0.954554713
1311278835463,-71.06736718,42.37375424,0.422245883,-1.498208131,10.50135989,77.00729411,8.000326609,2.000346138,-14.93704599,2.126684634,-1.248521166,323.7914227,17.50715989,2.000043638,0.962782911
1311278838553,-71.06879356,42.37608272,-0.689502459,0.919432926,9.040580961,128.1270558,-5.796803575,-4.34360218,-17.81196374,-16.43518471,-21.12448878,336.6059981,18.30004862,3.4641805,0.944843683
1311278839325,-71.06783168,42.37432347,0.504000793,-0.653758711,10.10635615,106.0046235,4.000374793,3.000153073,-23.49908653,-9.123345201,10.25097452,329.4167549,18.00000176,6.000127255,0.916104249
1311278842412,-71.06914459,42.37669583,-0.420467825,0.267310338,9.001367453,129.2033462,-1.702694912,-2.687330615,-17.81138312,-17.43617201,-23.12426817,337.3029913,18.20002848,4.899052391,0.952702144
1311278843545,-71.06810718,42.37490667,1.14412512,0.149876333,9.997378211,83.00953941,-0.999968734,7.000491666,-15.24873203,1.627888616,-9.748689893,337.1481041,17.75011859,6.000111559,0.917399941
1311278846280,-71.06946531,42.37726981,-0.689496178,0.612947619,9.001388472,129.0891554,-3.890457901,-4.374654699,-18.56145825,-16.68684969,-22.87348234,337.3095818,17.50017407,4.899009934,0.969398362
1311278847410,-71.06840368,42.37557949,-0.040854757,0.190714835,10.7192352,84.00107739,-0.999714404,-0.999992247,-9.187166386,1.376657364,-2.248956549,337.8601064,18.75020044,6.000072851,0.895249775
1311278850491,-71.06973155,42.37774283,-0.650303686,0.996068224,8.694912022,127.137166,-6.49968826,-4.249693213,-18.0617473,-18.43576836,-21.12382636,337.2011094,18.10015044,4.899131131,0.910346121
1311278851624,-71.06879324,42.37620567,0.50401783,6.59525E-05,9.69773625,83.00473175,-0.99974197,3.000048461,-8.685856973,0.626259297,-0.998464707,338.5573423,18.50001992,4.000126289,0.921204242
1311278854353,-71.0700529,42.37835163,-0.766109938,0.459711071,9.154583604,126.4650613,-2.859340044,-4.796656975,-18.31191458,-19.37349158,-26.99883466,338.2082323,18.50001588,4.899030563,0.913946227
1311278855498,-71.06911391,42.37684884,0.190702785,0.040899376,9.997413661,70.00935892,-0.999767855,1.00048762,-7.936523622,3.625292439,-1.49951668,339.9698172,19.25651616,8.00009053,0.86477566
1311278858561,-71.07041122,42.37901155,-0.956752513,0.612930459,9.154634854,125.3532818,-3.812456583,-5.937447812,-18.56230131,-15.43642264,-20.87345975,340.2023722,17.10015589,6.00007542,0.938534979
1311278859371,-71.06945672,42.37740106,0.504014652,0.108987236,9.425329201,85.00427705,-0.999891471,3.00031709,-8.687430884,0.377324836,0.251013206,336.4478678,17.00019245,4.000073872,0.865920783
1311278862432,-71.07074608,42.37959684,-1.186604035,0.842760367,9.307820635,128.646742,-5.124744823,-7.234212953,-18.31199395,-18.68665322,-22.62482331,338.004983,17.10005303,4.899025455,0.891037637
1311278863349,-71.06970826,42.37783074,0.504008453,0.081723388,9.997365899,84.00262225,-0.999728147,3.000322702,-10.43652696,1.126532355,-1.249173067,336.1013937,17.00009813,4.00014976,0.860283701
1311278866295,-71.07105947,42.38011252,-0.766065769,1.186732885,9.537676644,124.3310786,-7.062236748,-4.562441427,-18.56130701,-16.68656159,-23.8113866,336.1071378,16.30014961,4.242654783,0.863394237
1311278867565,-71.07012833,42.37852495,0.272485298,0.190745527,10.56941931,84.00624084,-0.999833481,1.000519573,-9.187285875,0.627290484,-1.999212785,336.7991973,16.75002073,6.000057439,0.842015274
1311278870513,-71.07140207,42.38066082,-0.420490475,0.766223597,9.500230875,125.9938774,-4.593573052,-2.51530635,-20.56194989,-16.9358197,-17.99921258,335.1065617,16.80012186,4.242784091,0.921370715
1311278871429,-71.07042545,42.37907303,0.340527737,0.231607917,9.888435145,76.00879875,-0.999743084,2.000134995,-8.436331196,2.626127848,-0.998733825,340.3211625,17.00020771,3.000039736,0.928867375
1311278874374,-71.0717536,42.38124088,-0.229792528,0.153310454,11.4922576,126.1527068,-0.749994002,-1.140554331,-21.0619486,-18.87399689,-18.93621969,335.7078368,17.00017829,4.242731819,0.890279991
1311278875643,-71.07072331,42.37962866,0.531247691,0.503989121,9.806653134,84.00670241,-2.999659847,3.000403118,-9.187381817,0.875032687,-4.249645773,336.451727,16.2501513,3.000060838,0.853390127
1311278878588,-71.07205844,42.38178491,-1.109996897,0.534660135,9.537651176,127.2663151,-3.187297782,-6.624523471,-18.06230079,-17.68684657,-18.43748331,336.5074102,16.10030155,3.464169675,0.879057769
1311278879512,-71.07105874,42.38016267,0.653820124,0.340575408,10.31064797,85.00331237,-1.999711538,4.000139132,-10.68664692,1.126616838,-1.749231281,335.3993448,16.50008539,4.000151441,0.824797577
1311278882455,-71.07240969,42.38232255,-0.919340712,0.306506209,9.423580813,128.2032345,-1.843541827,-5.577866692,-17.81152625,-14.9356551,-16.4987762,335.4038501,16.50016434,2.828467891,0.888084571
1311278883377,-71.07139542,42.38073661,0.422280869,-0.272377012,10.03822486,76.00551327,2.000244189,2.000482951,-8.935913788,1.875195981,0.500889603,335.0394048,17.25006768,4.000142641,0.891231139
1311278886323,-71.07273053,42.3829309,-0.650319608,-1.033384873,8.465113716,126.4699541,6.922171489,-4.37459126,-22.06164133,-14.93636631,-22.37402654,338.2096293,15.80028026,2.828519973,0.917238346
1311278887595,-71.07175357,42.38129587,0.612943561,-0.272374151,10.14724169,57.00530495,2.000339351,3.000294783,-8.185700841,5.127091533,5.000325847,336.0956321,17.25022432,4.000127968,0.822383219
1311278890538,-71.07295946,42.38326025,0.650394624,-0.076597253,9.500251461,133.8516717,0.45316078,3.92190077,-21.31225403,-22.87451294,-25.81228714,335.4020149,9.00006568,2.828494132,0.934514442
1311278891459,-71.07202861,42.38186095,0.381377033,0.040865296,10.50133062,76.00216464,-0.999510924,2.00040392,-8.687224184,1.377624134,4.251278233,336.8004187,16.75018603,3.000019418,0.942586088
1311278894405,-71.07308916,42.38346201,-0.306390422,-0.420485463,9.270359535,127.9396892,2.609830154,-1.905844851,-21.31215848,-16.68695907,-19.68695989,336.7024123,8.600110877,2.828580527,0.979019405
1311278895677,-71.07234041,42.38240099,0.081767241,0.313304969,8.771503605,70.00069042,-1.999800436,1.000030828,-8.936079107,4.376938797,8.501164703,336.4521973,16.50025886,3.00010527,0.909991226
1311278899556,-71.07266101,42.38291736,-1.144063029,-0.081655453,10.22893357,44.00504951,-0.999867512,-5.999976782,-10.93573346,9.877892646,2.750115425,336.4510403,14.5003098,3.000083519,0.826128747
1311278903419,-71.072905,42.38328154,-0.108893208,5.72622E-05,10.33782572,39.00299963,-0.999897059,-0.999892811,-5.686714755,8.377919104,11.75113436,335.3968746,9.000128597,3.000027965,0.975900397
1311278907634,-71.07305753,42.38352391,-0.422169754,-0.149741466,9.888384939,34.00536953,1.000170925,-1.999875994,-5.187427823,6.625592811,9.001371632,332.585613,6.500058241,2.000059249,0.802087739
1311278930542,-71.07308837,42.38394167,-0.534541197,1.532322805,9.576834425,116.4292854,-9.078015329,-3.156048139,-30.49962353,-22.62362836,-28.74919482,27.90217288,6.100022264,1.73214505,0.786050868
1311278934405,-71.07288208,42.38434176,-1.033351475,1.263352168,9.34526835,117.4065242,-7.655758718,-6.249826431,-27.99825031,-20.62253714,-22.12450487,18.1060562,10.40020801,2.000134731,0.91727615
1311278938616,-71.07282992,42.3847392,-1.416465348,0.76621783,9.690921432,118.94638,-4.484231298,-8.280927957,-24.99984933,-17.18496546,-22.62356255,6.300891127,11.00009263,1.732194005,0.880552125
1311278942491,-71.0729132,42.38511569,-2.795531993,0.229922154,9.15464819,120.3994311,-1.374651802,-16.98413545,-15.81096223,-11.74736482,-24.81172454,328.7068612,9.800016285,1.732148289,0.810860858
1311278943444,-71.07300499,42.38406793,1.225842976,0.612959743,9.384431256,51.00546749,-3.999696918,7.00045233,-12.68573926,14.62551922,17.18860292,29.53731998,9.000129007,2.000067129,0.892891592
1311278946354,-71.07330179,42.38525518,-2.221735019,0.534649916,9.690936619,160.804555,-3.077635419,-12.89030162,-5.123242998,-37.37344465,-19.68593026,280.7019913,8.700145735,2.000093298,0.902220854
